단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,구,계약일자,계약년월,alpha,경도,위도
현대그린1,84.93,10,2006,논현로51길 25,6.56027245341232,6,강남구,2012-08-20,201208,0.8,127.039533410678,37.4890474712049
삼익대청아파트,39.53,5,1992,개포로109길 21,6.841613314317767,20,강남구,2012-08-20,201208,0.33333333333333337,127.077191033018,37.4956264931259
LG선릉에클라트(B),36.35,11,2004,테헤란로63길 12,6.517307517940925,8,강남구,2012-08-20,201208,1.0,127.050947634813,37.5061147390354
삼익,60.0,4,1992,광평로51길 27,6.476972362889683,20,강남구,2012-08-21,201208,0.33333333333333337,127.100730117136,37.4896147291453
포스코더샵,164.88,13,2004,삼성로 417,6.8064836483453925,8,강남구,2012-08-21,201208,0.7333333333333334,127.057495005511,37.5045959726835
타워팰리스1,164.95,4,2002,언주로30길 56,7.149220412025016,10,강남구,2012-08-21,201208,0.6666666666666667,127.053483219997,37.4880695220981
삼익,104.01,2,1983,논현로 218,6.445318373258301,29,강남구,2012-08-21,201208,0.033333333333333326,127.042160561585,37.4912791695502
개포우성1,127.61,4,1983,선릉로 120,6.909243083179686,29,강남구,2012-08-21,201208,0.033333333333333326,127.057979748729,37.4915930435874
신동아(22),114.34,10,1997,강남대로146길 28,6.525287639835904,15,강남구,2012-08-21,201208,0.5,127.023030453954,37.5150254952533
아이파크,156.857,17,2004,영동대로 640,7.373881634577448,8,강남구,2012-08-22,201208,0.7333333333333334,127.059549285144,37.5183982498328
브라운스톤역삼,59.96,1,2004,역삼로 171,6.546973945278451,8,강남구,2012-08-23,201208,0.7333333333333334,127.037881809178,37.4956539271268
우정에쉐르2,59.54,12,2004,테헤란로77길 8,6.509986377508443,8,강남구,2012-08-23,201208,0.7333333333333334,127.054905898474,37.5070832578171
브라운스톤,243.94,3,2005,학동로11길 13,5.924983773167968,7,강남구,2012-08-24,201208,0.7666666666666666,127.024589540174,37.5131384786986
삼성동신도브래뉴,120.432,8,2010,삼성로103길 12,6.541516632546771,2,강남구,2012-08-24,201208,0.9333333333333333,127.053410791714,37.5103690964957
동부센트레빌,161.47,9,2005,선릉로 206,7.324694122633335,7,강남구,2012-08-24,201208,1.0,127.055641674701,37.4914644228405
신동아(22),35.73,8,1997,강남대로146길 28,6.732961988608974,15,강남구,2012-08-24,201208,0.5,127.023030453954,37.5150254952533
대우디오빌,30.03,14,2002,언주로 427,6.641052612916048,10,강남구,2012-08-24,201208,0.6666666666666667,127.042690475293,37.5014764820153
우성4,126.46,6,1985,언주로 117,6.919859490271287,27,강남구,2012-08-24,201208,0.09999999999999998,127.050396079152,37.4864661840624
대우아이빌멤버스(891-26),36.566,9,2003,삼성로85길 42,6.465636853225937,9,강남구,2012-08-24,201208,0.7,127.053801125765,37.5045490585229
쎄비앙102동,114.29,2,2007,역삼로34길 25,6.110598008742321,5,강남구,2012-08-25,201208,0.8333333333333334,127.042934124437,37.4956369720104
현대1차101동~106동,177.19,4,1984,개포로 303,6.6577863609693635,28,강남구,2012-08-25,201208,0.06666666666666665,127.054393140278,37.4832803381496
신현대9차,111.38,4,1982,압구정로 151,6.913306372115709,30,강남구,2012-08-25,201208,0.0,127.024454982256,37.5267858196588
역삼래미안,59.4,3,2005,선릉로69길 19,6.917805614835639,7,강남구,2012-08-27,201208,0.7666666666666666,127.050691041401,37.4981263526043
청담동마크노빌,270.25,2,2008,도산대로59길 25,6.819818404471564,4,강남구,2012-08-27,201208,1.0,127.042214660024,37.5255075108614
신성아파트101동,59.67,6,1996,언주로167길 15,6.429843810092371,16,강남구,2012-08-27,201208,0.4666666666666667,127.031913873685,37.5262583049708
노블스위트,78.94,3,2003,역삼로19길 14,6.252639275451744,9,강남구,2012-08-27,201208,0.7,127.03731718179,37.4961010962571
